full_text,sentiment
 kupikir masuknya komeng ke dpdri adalah puncak komedi trnyata ada lgi yg lebih komedi ,positive
  ini org goblok yg lebih lucuk drpd komeng trus bodoh kawanku,negative
 seperti itulah pak komeng di dalam beda di luar ,neutral
kok biar banyak hiburan itu komeng jadi wakil rakyat bukan buat ngehibur wakil rakyat juga dia di sana tuhan aku pengen ngatain goblok tapi kok nanti aku dosa,negative
 lah kocak lebih waras komeng dari pimpinannya,positive
 lucu bgt komeng,positive
  bukan g tau emang sengaja supaya komeng yg mode on serius jadi pasrah dan mode on lawak lagi karena tidak sesuai bidangnya dan tidak paham dengan yg dibidanginya ,negative
 nggak papa bang komeng kalo anda dipaksa tetap di komisi bidang pertanian iy an ya buat saja program agar para petani tetap bisa tertawa walau merugi krn harga gabah tak naik,neutral
 good morning dan selamat bekerja,positive
 dih bacot ketuanya tementemen di komite  butuh hiburan makanya pak komeng di komite  kocak bgt ni pernyataan kalo hiburan di tempat hiburan noh jgn di dpd kocaakkk,neutral
 itu pemimpinnya kira² ngerti gak  di sini terlihat bang komeng jauh lebih kompeten sekalipun dia komedian dan anggota yg lain juga harus berfikir seperti itu jangan iya iya sajakayak orang dungu,positive
banyak org yg digeser ke yg bukan bidangnya tapi terima aja demi jabatan yg lumayan ini komeng bagus sadar diri ga kompeten sama bidangnya dan ada tindakan apalagi pekerjaanbidang yg menyangkut hajat hidup org banyak,negative
  ya karna itu komeng protes gimana si lu,negative
menempatkan sesuatu yg bukan tempatnya mempekerjakan seseorang yg bukan dibidangnya yaa tunggu saja kehancuran bang komeng ini bukan sedang melawak belio menyampaikan kebenaran dgn cara belio tinggal gmana pendengar aja anggap itu serius atau komedi  ,positive
 terus maju bang komenguhuy ,positive
pimpinannya lebih lucu dari komeng ,positive
 wkwk jawaban goblok lu kl mau cari hiburan ya healing jalan ke luar negeri tololll duit korupsi ratusan juga buat apa kalo ga buat jalan itu komeng mau kerja bukan mau ngelawak kaya lo daki,neutral
 komeng main hp pas rapat pun pasti netizen mikirnya ada yg urgent,negative
 nah nii klo ada yg bang komeng ada humornya pasti suasana gk krik dan pasti jarang ngantuk tuh selain pinter ya lucu tp org lucu tuh rata pinter,positive
 yg  bidang sama komeng keliatannya nggak ada yg tau tentang pertanianpantes petani bingung ternyata yg ada di dpr orang yg bingung semua nanti yg ditaruh di budaya malah nggak ngerti budaya semua knp sih dah jelas komeng jago di budaya malah ditaruh di pertanian aneh emang,neutral
 betul dong kata bang komeng kyk uda tau biasa pengangguran obeng masa disuru pegang catokan yg ada eneg di salon biasa si bengkel,positive
 komeng kalah lucu ,positive
 mungkin yg menempatkanmenjadi pimpinannnya bang komeng perolehan suaranya tidak lebih banyak df bang komeng kah,positive
 bener ini komeng emng bkn sembarang komeng,negative
 wahaha asli dpr asal taruh org suruh belajar cepat kita cari wakil rakyat yg udh punya kompeten di bidangnya bagus bang komeng protes ngapain di taruh yg kita gak bisa ronaldo jg suruh main badminton gk bakal sehebat dia main bola,negative
visi misi komeng cuma duduk dpn mic di gedung  doank emang krn di negri para bedebah ini mana sanggup setahun thn ekonomi merata wong  periode aja msh byk ketimpngan gaya bet w ngetik mcam org bnr,negative
 komeng dianggap musuh dalam gedung,negative
teu sawios sanes abi nu lepat da  bacotan komeng di twitter sewaktu ta juga,neutral
 emang agak tolol cra menempatkan nya udh jls² bang komeng konsen ke budaya malh surh ke prtanian gmn gk ancur negara otg yg bukn ahlinya di tempatkan di tmpat dy gk paham,neutral
 mungkin komeng ditempatkan di area yng nggak ada duitnya biar dia nggak berisik dengan area yang ada duitnya,negative
 kayanya dibikin ga betah ini sih komeng berharap bisa dibidangnya malah ditempatin yg bukan bidangnya permainan yang sangat halus dibikin ga betah lama  lama mundur ternyata oh ternyata,negative
 jngn protes bang komeng itu sengaja anda di masukkan ke pertaniansupaya selalu menghibur para petani yg selalu dirugikan oleh kebijakan pemerintah orang pemerintah khususnya saat ini itu emng ga ada niatan untuk memajukan negara ini,negative
 lu pikirrrrrr bang komeng masuk situ mau ngelawak doang apa kocak lawakan eluu naruh orang ga sesuai bidangnya hadeh gini amat dah,negative
 ini salah satu bukti mirisnya instansi pemerintah udh jelas bg komeng ahli dibidang seni malah dikasih menjabat dibidang pertanian btw lu keren bang komeng udh jujur menjawab semuanya,positive
keren pak komeng,positive
 komeng wes dianggap bahaya oleh koruptor,negative
 ini padahal komeng lo yg jelas terkenal dan harusnya paham kudu di tempatkan di seni kalau komeng aja melenceng apalagi penempatan anggota biasa lainnya ,negative
bang komeng baru menyadari bahwa dalam dunia tersebut kemampuannya itu ga kepake amat asal bapak senang aja,positive
 akhir nya pak komeng tau dunia politik itu kayak apa mereka hanya mempermain kan rakyat aja hanya menghabis kan uang pajak rakyat mereka asal tunjuk dan asal taruh aja posisi orang di sana asli nya mereka memang gak kerja hanya rebutan kursi dan di bayar,negative
 trnyata begitu ya bahkan udah berhasil masuk dpd dgn vote tertinggi pun msh bs difix di dalam jelas kompetensi bang komeng apa visi misi wktu pemilihan jg ke arah kesenian setelah masuk malah ditaruh bidang lain org mau kerja bener malah dihalangi,neutral
 kalo protes bisa nggagalin gol terakhir bahrain nggak bos,neutral
 et dah siapa sih yg nempatin bang komeng di bagian yg kaitan pertanian bukan orang indonesia kah bukannya udah jelas bang komeng pengalamannya dimana,neutral
  nahh justru komeng itu scara tidak langsung dia protes dia g mau di bisa karena bukan bidangnya,negative
 insyallah bang komeng amanah,positive
yang salah si komeng pake nanya karena memang begitu aturan main di semua institusi negara agar semua pejabat memiliki jawaban bukan tanggung jawab misal komeng lebih memahami budaya lalu dia ditempat pada komisi budaya jika budaya ga ada progress apa bahkan semakin hancur ,negative
g salah gw pilih komeng dia ini orang cerdas,negative
 ketua ya pengen komeng di parkir aja dasar dpd tlok,negative
 selama  menit  utek e yo ilang bu,positive
 batuk ireng logok,negative
 aduuuh ternyata menempatkan tugas pada seseorang pada bidang yg gak dikuasainya bukan hanya terjadi pada di mentri pendidikan ya salut buat komeng yg mau protes,neutral
link ig wasit  raline shah kevin diks sandra dewi komeng terka  fifa            ,neutral
 kena karma lu nanti sit krn gk adil nyakitin hati masyarakat  jt jiwa demi negara yg penduduknya msh banyakan jawa barat ama perolehan suara komeng juga msh banyakan komeng,positive
set mikirnya cepet bener ya bang komeng,positive
 ahli jilat,negative
 di konoha yg ngurus ojek jadi mentri pendidikan geloran ada yg paham seni budaya di kasih jabatan ke pertanian  komeng memcoba mewaraskan bukan melawak,neutral
saya mau tanya aja emang gak boleh ya kalau main sepakbola di negeri arab terus wasitnya dari cina gtoo atau japan atau dari afrik kek bangsa bgt wasit arab bangk asssuuuuuuuuuu rab,negative
  ko kafir komeng tau kagak,positive
 sebenernya yg ngelawak dpd apa komeng sih,neutral
  bang komeng ngerasa ilmu nglawaknya blm seberapa maka beliau mendalami ilmu dan langsung berguru kepada alhlinya,positive
 jujur dan ksatria kalau memang gak memahami suatu bidang bicara apa adanya semangat bang komeng tempatkan the right man on the right place,positive
 itu yg ngomong bang komeng disitu buat hiburan tololnya bukan maen dipilih rakyat buat kerja klo butuh hiburan k taman safari aja,neutral
kalau nggak salah periode sebelumnya puan maharani karena pemilihnya terbanyak bisa jadi ketua dpr tak kira sebagai anggota dpd yang suaranya terbanyak seindonesia raya di pemilu  komeng ada keistimewaanlha ini komisi aja nyasar,neutral
 beh para petani bahagia selalu walau panen gagal hidup komeng ,positive
 kok ngawur seh yaa aku dulu pilih komeng itu supaya bisa mewakili suara rakyat agar budaya indonesia bisa maju eh malah ngawur naru orang yang bukan di bidangnya,positive
wasit anjing ,negative
  dan pimpinan sidang malah berpikir komeng jadi penghibur di komisi  wooiiikalian  dibayar rakyat untuk bekerja pikirin rakyat bukan cari hiburan sendiri  tolong bunda  diluruskan,neutral
 pimpinannya lebih lawak dari komeng uhuyyy,positive
 bal bal an kontol,neutral
 ini nih asal mula kakistokrasi menempatkan orang bukan pada bidangnya protes terus bang komeng biar disana pada sadar,positive
 ketika dpd lebih lucu dr komeng,positive
itulah tololnyo pemerintahan nih lah tau bang komeng fokus ke seni dan budaya malah di taruk di pertanian buang buang anggaran bae kontol,neutral
 lek dobol kancane ngabalin,negative
 menawarkan tuh seharusnya sesuai bidang keprofesionalnya bang komeng bukan menawarkan bidang lain ciri culas menghendaki sesuai jidat,neutral
 gak apaapa lah bang komeng tetap dapat menampung aspirasi dalam seni bercocoktanam ,positive
 buat hiburan di komite  mending komeng mundur dari dpd kalo ga bs pindah ke komite seni budaya daripada jadi badut parlemen,neutral
 komeng speak up melalui komedi tentang betapa bobrok negara ini ,negative
 itu komeng serius nanya kok malah pada ketawa aneh,negative
 halah ora onobpotone pas sumuk owk ,negative
 pimpinannya aja goblok apalagi yg lain cuma komeng yg waras,negative
 hiburan hiburan sebelum komeng jadi juga udah lawak njir,neutral
hmm dulu kenapa gk protes kayak pak komeng ini yaa aing lulusan teknik mesin tapi ngerjain kinerja ama keuangan mana belajarnya lamaaa,neutral
 menyala bang komeng,positive
witan anjing,negative
 haa keliatan yg bener mau krja sadar kemampuan komeng bilek gw bukan anak pertanian yaaa jiing ,neutral
 keberadaan komeng harusnya sudah dipertimbangkan sejak dini untuk ditempatkan sesuai bidangnya ini pimpinannya gimana ya,neutral
 menang gak mang komeng deg degan ni ,positive
 pasti diumpetin bang komeng,positive
respect sma komeng harusnya semua pejabrut minimal ky komeng tau diri terkait kapasitas dan keinginan yg nyoblos,negative
bang komeng sedang memasak,neutral
otw piala dunia nggak sih indonesia vs bahrain dimana nonton di telegram aja  raline shah kevin diks sandra dewi komeng terka            ,neutral
bung komeng sedang memasak emang banyak pimpinan di indo itu kek ngasal naruh orangnya naruh orang gak sesuai dengan kompetensinya kek siapa sih yg gak tau komeng kalo dia artistseniman,negative
 bang komeng udah profesional memposisikan diri pas rapat eh dengan seenak jidat jawabannya kami ini pengen banyak hiburan rapat goblokkkk hiburan matamuuu,neutral
  lalu janji komeng kepada  juta suara konstituen yang memilihnya dikemanain diantara anggota dpd seisi gedung komeng peraih suara terbanyak harusnya dia yang mimpin,positive
 mungkin bidang pertanian butuh hiburan bang komeng yang tadinya bercocok tanam jadinya bercocok tawa,positive
video komeng protes ditugasi bahas pertanian saya harus belajar ke mana ,neutral
 pantes negara kita gak maju pimpinannya aja gak bisa mimpim masa iya komeng masuk di bidang pertanian aduuhh kocak nih koplak jg sih wkwkwkw,neutral
 yeuu kocak lu ngelawak ko depan komeng,positive
menyala om komeng kuu,negative
 ditaruh di bukan bidangnya biar bisa dibegoin trus disuap diarahkan untuk dijebak apalagi ini bukan bidangnya bisa stress dan ngaco tapi mudahan bang komeng baik aja udah vokal nyindir gini aja udah bagus,positive
nah kan gak kaget dong skrng knp nadiem makarim bermasalah pendidikan di bisnisin ama dia ya org ga kompeten di bidang itu main di cemplungin aja kalau dulu si nadiem jadinya di posisi bahlul mgkn nyambung disini jls lbh pinter komeng dr pd nadiem mengenai kapabilitas diri,neutral
 dpr memang rapi amp terstruktur untuk mempertahankan diri agar bisa lebih lucu dr bang komeng,positive
itu kan memang sengaja dibikin begitu pak komeng,negative
 kalau gak aesuai bidang nya jangn dipaksakan pa mantap komeng berani bilang tidak,negative
 dpd sejak ada komeng jadi terexpose,neutral
 bangke dikira doi mau ngelawak apa masuk dpd kl gw jd komeng denger kata² dr si pimpinan gw bakal gebrak meja tersinggung gw dikira badut buat lucuan komite  tae,neutral
 pantes gaperna beres ini pemerintah nata negara ya liat aja asal tunjuk gitu untungnya orang kaya komeng brani ngomong ,negative
nie org pea mlh diangkat ketua komeng dipilih rakyat bkn ungehibur lu pd jing,negative
 sehatsehat dah bang komeng semoga dijauhkan dari orangorang jahat,negative
 ga salah gw pilih bang komeng ,negative
 ganti komeng aja nspa sih yang mimpin  ni pimpinan sok iye banget dikira tuh komeng masuk situ buat ngibur ente pade ,negative
 komeng duit banyak kenapa ga privat dlu minimal jadi dpr ya publik speaking bagus intelektual bagus kalo maksain ya anda cuman jadi aktor di dpr jadi bahan lawakan kalo mau ngelawak ya distand up komedi,neutral
 udah berapa lama tinggal di indonesia bang komeng kenapa heran disini sarjana hukum aja bisa jadi dokter lulusan arsitektur bisa jadi lawyer orang seni rupa bisa jadi arsitek kaya baru  bulan aja tinggal di indonesia uhuy,neutral
komeng sedang ngumpulin materi komedi ,negative
ada lagi video sekandal guru dan murid pasya di gorontalo  dan pelajar demak viral padahal sama temen nya udah di ingetin link video ada di komen video viral guru dan murid di gorontalo pro bnget ceweknya  seminggu muhammad arhan ridho komeng ,neutral
nek dianulir wasit e diobong ,neutral
ada lagi video sekandal guru dan murid pasya di gorontalo  dan pelajar demak viral padahal sama temen nya udah di ingetin link video ada di komen video viral guru dan murid di gorontalo pro bnget ceweknya  seminggu muhammad arhan ridho komeng ,neutral
 sengaja biar ga otak atik kuenya seni kalo komeng ke seni nanti ketauan korupsinya dimana yg sebelumnya bagus juga taktik penjahat,neutral
 bang komeng sedang masuk dalam hutan rimba terlalu vokal tenggelamkan,neutral
ada lagi video sekandal guru dan murid pasya di gorontalo  dan pelajar demak viral padahal sama temen nya udah di ingetin link video ada di komen video viral guru dan murid di gorontalo pro bnget ceweknya  seminggu muhammad arhan ridho komeng ,neutral
komeng ditarik jauhjauh dari komite seni budaya karena klo dia disana dia akan ngerusak tatanan korupsi yg udah mengakar susah nih orang polos mau benerin dewan tapi masuk ke sistem busuk,neutral
sial ak ketawa wkwk kenapa nyapanya pake bang komeng uhuuuy ,positive
ini pemain indo udah tibo tangi golong komeng klo ga menang brati ga kalah,negative
 jika urusan diserahkan kepada yang bukan ahlinya maka tunggulah kehancurannya bang komeng memang uhuyyy,positive
 pimpinan kok ngomong gitu sih  komeng dipilih untuk mewakili suara rakyat bukan untuk hiburan kalian parah sekali ini,positive
sama komeng gt misalnya ,neutral
 harapan bang komeng terlihat cukup jelas di podcast ini apa ada yg takut kepentingannya terganggu kalo bang komeng serius membenahi di bidang seni budaya ,neutral
bahrain guling guling fc ,positive
banyak acting kontol,negative
  ajg ye bahrain gila pelawak ngelebihin komeng lu pada asw,negative
anjing lah komeng lucu bgt capek,positive
 yaelah komeng buat hiburan doang  kalau mau hiburan masih ada cak lontong,neutral
  yaampun komen lu goblok banget ya betul dong komeng harusnya ditempatkan sesuai bidangnya ibarat keahlian lu makeup tapi lu ditaro ke bidang kesehatan kam gak nyambung toh,negative
daftar  artis jadi anggota legislatif  ada komeng hingga verrel bramasta  infografis ,neutral
untung komeng ga ngomong maap ada eventnya ,negative
 untung komeng ga blg maaf ada eventnya ,negative
anjingg,positive
brengsek bgt komeng ditaro di komite  biar banyak hiburan,positive
 emang komeng ngerti seni tapi tidak mengerti politik politik emang seperti itu meletakkan sesuai kebutuhan bukan kemampuan ,negative
 bang komeng kalo nyalon persiden pasti saya pilih bang komeng,positive
dari awal komeng memang ingin berkontribusi di bidang seni budaya komite iii dpd ri tapi malah ditempatkan di komisi ii yang ngurusin pertanian selengkapnya di gtgtgt ,neutral
 maaf pak komeng divisi tersebut hanya untuk orang yang mengeluarkan modal pak kalau bapak cocok di pertanian saja ya,neutral
 biar di komite  ada hiburan are u fcking kidding me secara gak langsung sudah meremehkan keahlian bang komeng  berarti jabatan jadi senat cuman main selama ini,neutral
 w komeng,positive
arrayessa tiktoker tobrud  putri esemka tobrud  esemka aliya mantap  klik countinue  ok untuk skip iklan bebas puas malam jumat maljum malam minggu malming  komeng king indo ,neutral
 komeng niatnya bisa jadi perwakilan dalam dunia seni dan budaya eh malah diminta jadi penghibur orang tolol yg gabut masih bisa cengar cengir lagi pimpinannya itulah komedi negeri ini,positive
indonesia vs bahrain       ,neutral
 mungkin org  yg nugasin komeng di pertanian berpikir komeng bs ngelawak petani saat hrg gabah merosot saat pemerintah mlh impor beras pdhl baru panen saat pupuk langkamahal di pasaran,negative
  yg salah sistemnya komeng ini kalau di taruh di bidangnya akan jd bumerang bagi yg sudah nyaman makanya dia do taruh yg bkn bidangnya biar gk vokal,negative
  lah selama ini dari w kecil baru nyadar klo pak komeng jalannya begitu,negative
bismillah  bebas ongkir rp rcti australi kevin diks eliano malik jordi ridho sandra dewi baemon clikclak preview ferrari terka han kang komeng jam    bahrain vs indonesia link streaming     ,neutral
 komeng kalah lucunya sama mereka wkwkwk,negative
 komeng kalah sama yg berduit kayaknya hahahaha,positive
 yg membagi itu siapa mosok ga taw komeng ahli apa,negative
keputusan seluruh rakyat sandra dewi jam  jordi king indo rcti nobar  oktober bahrain komeng kevin diks australia ,neutral
jokowi resmikan  proyek di ikn dalam sehari sandra dewi jam  jordi king indo rcti nobar  oktober bahrain komeng kevin diks australia ,neutral
 berarti lagi ada mafia di bidang yg diinginkan komeng makannya komeng ga ditaro disitu,neutral
 semoga bisa pindah sesuai keahlian bang komeng,neutral
 inilah jadinya kalo posisi cuma menjadi hiburankomeng sbnarnya pengen krja benertp cuma dianggap sbg hiburan di dprparahhhh ,negative
pendidikan internasional di ikn sandra dewi jam  jordi king indo rcti nobar  oktober bahrain komeng kevin diks australia ,neutral
pertama dalam sejarah sandra dewi jam  jordi king indo rcti nobar  oktober bahrain komeng kevin diks australia ,neutral
 investor asing masuk ikn sandra dewi jam  jordi king indo rcti nobar  oktober bahrain komeng kevin diks australia ,neutral
hotel ikn sandra dewi jam  jordi king indo rcti nobar  oktober bahrain komeng kevin diks australia ,neutral
 komeng luar biasa bertanya sekaligus menegur semuanya istilahnya kok kerjaan ini gak sesuai sama kemampuan yah bagus bagus ga asal kerja tapi juga mengedepankan profesionalisme aku senang ada komeng di dpr walaupun lucu tapi tetap ada isinya,positive
komeng adalah ancaman ia independen dihormati di bidang seni sangat populer dipilih lebih dari juta suara bahkan memecahkan rekor pemilu dpd sepanjang masa ,positive
 yallah kenapa valentines komeng banget,negative
bandara ikn sandra dewi jam  jordi king indo rcti nobar  oktober bahrain komeng kevin diks australia ,neutral
 komeng,positive
 pulang semarang saja ngocol lagi d pramborswes tah yen ra mampu rasah kemaki meng komeng,negative
 iya emang betul banget pak komeng ,positive
 itu pimpinannya siapa sih emang bang komeng disana tugasnya buat menghibur angota dewan,neutral
 brengsek bener jawaban si pimpinan itu komeng serius malah di sepelein,neutral
lebih pelawak ketuanya daripada komengnya buat dijadiin sekedar penghibur doang si komeng,positive
 katanya biar komite ii ada hiburan lah dikata komeng masuk situ mau ngelawak goblo,neutral
baru kali ini ada anggota yg sadar diri dgn kemampuannya semoga komeng di pindahkan sesuai keahliannya spy bisa bekerja dgn maksimal gue hormatin banget kejujuran dan keberanian komeng dgn protesnya ,positive
 pimpinan nya dikira komeng gabisa serius sama pinter kali ya,neutral
  maksudnya serius dari dulu jg komeng waras,neutral
 yang ditaroh di suatu bidang tuh seharusnya yang ahli di bidangnya dong jangan asal bagi² aja pantesan bang komeng heran,neutral
no komeng ,neutral
  kaki komeng sama kayak kaki david beckham panjang sebelah,neutral
gw ga sanggup ngetawain komeng drtd ,positive
ini lebih lucu dari lawakan komeng pantes ni negara ga maju maju karena emang sengaja orang kerja tidak ditempatkan pada kesesuaian kompetensinya soalnya kalau sesuai kerjaan beres maunya kan kerjaan ga beres beres biar anggarannya nambah mulu fix emang orang sana tu,positive
 pak komeng bagaimana mungkin rakyat memiliki citarasa seni kalau perut lapar kalau kantong kosong perbaiki dulu tata niaga pertanian sejahterakan dulu petani dan konsumen,positive
jual aplikasi premium wts wtb netflix viu canva prime wetv hbo iqiyi capcut vidio picsart vision deepl loklok youtube scribd         komeng ,neutral
 wkwkwkwkwkwkwkw jokes nya ada aja nih bang komeng ,neutral
  iyaa kuatkuat ya bang komeng semoga dia balik lagi megang seni,positive
